name,birth,start_year,end_year,career,games,타수,득점,안타,이루타,삼루타,홈런,타점,도루,도실,볼넷,사구,삼진,병살,실책,batting_average,birth_month
김상우,1975-08-25T00:00:00Z,1995,1995,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,8
김승관,1976-03-05T00:00:00Z,1995,2007,12,220,351,34,75,20,0,3,33,0,2,48,4,82,9,2,0.214,3
김승권,1976-05-01T00:00:00Z,1995,2006,10,443,619,85,143,41,0,13,72,3,4,17,5,133,15,22,0.231,5
박상일,1976-07-30T00:00:00Z,1995,1995,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
양종성,1976-10-02T00:00:00Z,1995,1995,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,10
조현,1976-10-04T00:00:00Z,1995,2002,5,243,543,67,126,18,4,14,65,5,3,47,7,134,11,1,0.232,10
이용주,1976-10-31T00:00:00Z,1995,2002,6,95,116,14,23,2,0,1,6,0,0,12,1,21,4,8,0.198,10
김영진,1976-12-05T00:00:00Z,1995,1996,2,67,131,16,28,6,1,6,19,0,2,11,2,47,2,0,0.214,12
김진삼,1977-01-13T00:00:00Z,1995,2001,4,35,28,4,7,0,0,0,0,1,0,0,0,4,0,2,0.25,1
정수근,1977-01-20T00:00:00Z,1995,2009,15,1544,5329,866,1493,230,50,24,450,474,156,621,51,608,84,61,0.28,1
김경호,1963-04-07T00:00:00Z,1996,1996,1,10,11,1,2,0,0,0,1,0,1,2,0,1,0,2,0.182,4
김재성,1969-05-27T00:00:00Z,1996,1996,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
권오영,1970-08-15T00:00:00Z,1996,1999,2,40,66,6,12,2,0,1,9,0,0,1,1,19,1,1,0.182,8
유필선,1970-09-06T00:00:00Z,1996,2001,6,179,329,54,78,16,2,6,31,4,6,34,18,92,4,4,0.237,9
권오성,1970-10-26T00:00:00Z,1996,1999,4,119,180,13,34,5,0,2,19,0,0,15,7,51,4,3,0.189,10
박은우,1971-05-25T00:00:00Z,1996,1996,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
